device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:21:51.177587,50848,-2.628834,-7.472303,-6.131551,-0.18679,0.055424,0.234221,32.09177
ESP32_01,2026-05-25T14:21:51.377412,51122,-3.1795,-7.615956,-5.805939,0.218766,-0.040502,-0.171069,32.11235
ESP32_01,2026-05-25T14:21:51.585283,51320,-2.391808,-6.933608,-3.974375,0.528395,-0.357593,-0.329614,32.12118
ESP32_01,2026-05-25T14:21:51.791821,51532,-6.517017,5.015852,-11.12825,2.152217,-0.514273,-0.760217,32.10059
ESP32_01,2026-05-25T14:21:51.995952,51732,-4.489128,0.6608,-10.17775,0.849216,-0.33974,-0.70506,32.10059
ESP32_01,2026-05-25T14:21:52.203208,51930,-3.557784,-4.328717,-6.98628,3.375014,-0.395697,-1.793293,32.1153
ESP32_01,2026-05-25T14:21:52.347263,52147,-1.78368,-7.666234,-4.752491,0.155348,-0.049828,-0.104453,32.09765
ESP32_01,2026-05-25T14:21:52.558350,52286,-2.075773,-8.348581,-4.601655,0.294441,-0.026913,0.049029,32.08588
ESP32_01,2026-05-25T14:21:53.230775,52496,-2.243367,-8.118738,-4.675876,-0.01359,0.029311,0.050894,32.11235
ESP32_01,2026-05-25T14:21:53.358762,53167,-2.537854,1.312023,-9.421184,-0.128968,-0.301103,-0.208907,32.08588
ESP32_01,2026-05-25T14:21:53.930526,53295,-3.821146,1.089362,-8.516175,0.062885,-0.242481,-0.152417,32.09177
ESP32_01,2026-05-25T14:21:54.274576,53976,-1.968034,-7.754819,-4.613626,0.215035,0.006662,-0.534257,32.09471
ESP32_01,2026-05-25T14:21:54.453400,54217,-2.367866,-8.700529,-4.498705,-0.066349,-0.112714,0.050095,32.09177
ESP32_01,2026-05-25T14:21:54.592926,54396,-3.256114,-7.395689,-5.683835,-0.876395,-0.111648,0.604337,32.09177
ESP32_01,2026-05-25T14:21:54.764366,54536,-3.318364,-6.746861,-6.40449,0.461513,0.035706,-0.218499,32.09765
ESP32_01,2026-05-25T14:21:54.910136,54706,5.164293,8.073248,-14.84405,-8.731442,3.184493,3.429639,32.09471
ESP32_01,2026-05-25T14:21:55.049601,54855,-3.325546,1.127669,-6.531382,-0.164674,0.036505,-0.434067,32.09471
ESP32_01,2026-05-25T14:21:55.278983,54995,-3.615245,1.951274,-8.798691,0.845485,-0.09939,-0.499084,32.08294
ESP32_01,2026-05-25T14:21:55.478348,55213,-3.526659,-1.910573,-8.288726,0.970723,0.020518,-0.366919,32.07412
ESP32_01,2026-05-25T14:21:55.686532,55424,-3.952827,-3.536236,-8.281544,1.401326,-0.388502,-0.850282,32.08883
ESP32_01,2026-05-25T14:21:55.896277,55632,-2.861071,-7.170634,-5.377377,1.073844,0.011458,-0.593145,32.09177
ESP32_01,2026-05-25T14:21:56.090116,55841,-1.989582,-7.912837,-4.501099,-0.805516,0.399427,0.838557,32.09177
ESP32_01,2026-05-25T14:21:56.298217,56034,-3.957615,-6.979098,-6.234501,0.327216,-0.050361,-0.079139,32.06823
ESP32_01,2026-05-25T14:21:56.707773,56242,-7.486669,5.056554,-9.392453,-8.731442,1.250775,2.107185,32.08588
ESP32_01,2026-05-25T14:21:56.841967,56650,-5.284003,-4.043807,-6.423643,0.661093,-0.225427,-0.320821,32.05059
ESP32_01,2026-05-25T14:21:57.009569,56789,-6.076484,-4.642357,-5.877765,0.374646,-0.436199,0.670953,32.06529
ESP32_01,2026-05-25T14:21:57.144480,56953,-4.491522,-5.044583,-6.258443,0.196116,-0.230224,0.210239,32.08588
