device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:11:45.221861,131905,-3.20823,-3.485958,-9.038112,0.01732,-0.018919,0.221697,31.97118
ESP32_01,2026-05-25T14:11:45.295496,131980,-4.350265,-3.639187,-8.389283,0.722113,0.518802,0.284049,31.95941
ESP32_01,2026-05-25T14:11:45.370906,132055,-4.548983,-4.900931,-6.366182,0.706392,-0.110049,-0.030377,31.97118
ESP32_01,2026-05-25T14:11:45.445307,132128,-3.694253,-5.066131,-5.880159,0.299237,-0.151617,-0.708524,31.95353
ESP32_01,2026-05-25T14:11:45.518981,132202,12.45464,-5.923255,-12.78504,-1.267562,-0.795124,-2.003265,31.95353
ESP32_01,2026-05-25T14:11:45.596625,132276,5.695806,7.967903,-14.27662,7.440699,5.574661,8.551047,31.96235
ESP32_01,2026-05-25T14:11:45.675544,132353,-42.97831,9.421184,1.651999,-0.328015,-2.438132,1.419979,31.95941
ESP32_01,2026-05-25T14:11:45.749918,132431,-3.229778,-6.79235,-5.221754,-0.34427,-0.435933,-1.918263,31.94765
ESP32_01,2026-05-25T14:11:45.820832,132505,-7.788338,-4.357447,-5.549759,-0.218499,-0.371715,-0.777271,31.95353
ESP32_01,2026-05-25T14:11:45.900949,132578,-8.892065,-4.340688,-4.15394,-0.06102,-1.223329,-3.016089,31.96235
ESP32_01,2026-05-25T14:11:45.983802,132657,-2.300828,-3.890578,-6.339846,-1.665923,-2.346202,-3.363023,31.96824
ESP32_01,2026-05-25T14:11:46.064790,132748,4.508282,-6.58166,-5.015852,-0.898778,-0.212904,-1.243314,31.96824
ESP32_01,2026-05-25T14:11:46.146970,132831,32.8676,1.343147,-23.78639,-4.772609,1.530294,3.408055,31.95941
ESP32_01,2026-05-25T14:11:46.221138,132904,-18.03073,25.99385,-5.243302,7.33358,4.618062,8.731176,31.98
ESP32_01,2026-05-25T14:11:46.295991,132978,-18.38268,-1.75495,3.452439,0.90917,-1.859375,-3.061654,31.97706
ESP32_01,2026-05-25T14:11:46.369210,133053,-1.649605,-6.141128,-8.317456,-0.407688,0.03464,-0.507078,31.95647
ESP32_01,2026-05-25T14:11:46.442660,133126,-11.8489,-1.963245,-6.979098,-0.058089,0.050894,-1.032809,31.95647
ESP32_01,2026-05-25T14:11:46.531843,133199,-8.018182,-2.545036,-6.047753,0.897712,-1.662193,-3.452554,31.95647
ESP32_01,2026-05-25T14:11:46.611232,133295,0.263362,-6.045359,-3.502717,-0.87906,-1.591314,-3.812811,31.93588
ESP32_01,2026-05-25T14:11:46.695918,133369,9.631873,-6.112397,-8.652645,-3.590582,-1.128202,-1.793559,31.93882
ESP32_01,2026-05-25T14:11:46.771996,133453,21.96441,7.632715,-28.06962,2.849017,1.479133,8.731176,31.95059
ESP32_01,2026-05-25T14:11:46.844668,133528,-55.21508,14.82011,-6.861782,0.734371,0.081538,3.448824,31.96235
ESP32_01,2026-05-25T14:11:46.926501,133601,3.019088,-8.801085,-3.258508,-0.872665,0.17773,-0.963262,31.93588
ESP32_01,2026-05-25T14:11:47.006430,133684,-7.33344,-3.708618,-8.47308,-0.25687,-0.070346,-0.069547,31.93294
ESP32_01,2026-05-25T14:11:47.086798,133764,-9.248801,-4.113238,-4.972757,0.958732,-0.706392,-1.771709,31.94176
